,method,gamma,interv_gene,test_mse
283,anchor regression,2,ENSG00000111581,0.3195676410913001
284,anchor regression,2,ENSG00000198952,0.1207592254103273
285,anchor regression,2,ENSG00000156603,0.7109289781184418
286,anchor regression,2,ENSG00000108424,0.3810961465995935
287,anchor regression,2,ENSG00000105258,0.3140206011661822
288,anchor regression,2,ENSG00000119414,0.134483740765218
289,anchor regression,2,ENSG00000163754,0.09517036364034555
290,anchor regression,2,ENSG00000112118,0.16553786489535033
291,anchor regression,2,ENSG00000113141,0.33096354765512587
292,anchor regression,2,ENSG00000108064,0.38764848776631067
293,anchor regression,2,ENSG00000198258,0.48283978471465666
294,anchor regression,2,ENSG00000197780,0.2722196314602834
295,anchor regression,2,ENSG00000083896,0.24536399312216858
296,anchor regression,2,ENSG00000183479,0.4712346123620826
297,anchor regression,2,ENSG00000197111,0.14533026651766764
298,anchor regression,2,ENSG00000144034,0.5565362178535028
299,anchor regression,2,ENSG00000268043,0.09392157455829253
300,DRIG,3,ENSG00000205609,0.13184254952846003
301,DRIG,3,ENSG00000205571,0.26061086724523475
302,DRIG,3,ENSG00000100804,0.10434638247349123
303,DRIG,3,ENSG00000204152,0.6823752702306545
304,DRIG,3,ENSG00000168538,0.16947215065973675
305,DRIG,3,ENSG00000197734,0.13210753826801114
306,DRIG,3,ENSG00000152253,0.7023126726646973
307,DRIG,3,ENSG00000106263,0.17501465015864837
308,DRIG,3,ENSG00000120948,0.44309784760941323
309,DRIG,3,ENSG00000169750,0.14600458243249176
310,DRIG,3,ENSG00000119718,0.11241970052898335
311,DRIG,3,ENSG00000105618,0.1599705897158603
312,DRIG,3,ENSG00000145191,0.10472747664607131
313,DRIG,3,ENSG00000072756,0.19126805874621966
314,DRIG,3,ENSG00000070785,0.21991683462936013
315,DRIG,3,ENSG00000160075,0.1122164181216559
316,DRIG,3,ENSG00000075856,0.2305950497703277
317,DRIG,3,ENSG00000131931,0.29200891645487226
318,DRIG,3,ENSG00000174243,0.7363749354692279
319,DRIG,3,ENSG00000117360,0.6454515037273787
320,DRIG,3,ENSG00000100949,0.10269296762431117
321,DRIG,3,ENSG00000175792,0.33305032953284175
322,DRIG,3,ENSG00000181029,0.511981449283758
323,DRIG,3,ENSG00000146007,0.2684613876331425
324,DRIG,3,ENSG00000124207,0.21645990270781038
325,DRIG,3,ENSG00000174780,0.37854300696291815
326,DRIG,3,ENSG00000197265,0.11774155866154068
327,DRIG,3,ENSG00000182446,0.1779839038191574
328,DRIG,3,ENSG00000169727,0.11075493151372973
329,DRIG,3,ENSG00000110713,0.28297463129758516
330,DRIG,3,ENSG00000137955,0.7235888818548711
331,DRIG,3,ENSG00000142731,0.6525751506715858
332,DRIG,3,ENSG00000189091,0.11285209272589843
333,DRIG,3,ENSG00000111581,0.30661825623818384
334,DRIG,3,ENSG00000198952,0.12152041372673375
335,DRIG,3,ENSG00000156603,0.6454599173369894
336,DRIG,3,ENSG00000108424,0.3730542287116657
337,DRIG,3,ENSG00000105258,0.3034658403246923
