lambda,test_crps
9.0,0.3141443103551865
9.0,0.2534320622682571
9.0,0.2825310051441193
9.0,0.2283999249339103
9.0,0.2727315813302994
9.0,0.31626797914505
9.0,0.1934697151184082
9.0,0.4661848276853561
9.0,0.206439496576786
9.0,0.284225195646286
9.0,0.385609558224678
9.0,0.2138825476169586
9.0,0.2858989775180817
9.0,0.1832264333963394
9.0,0.3737542808055877
9.0,0.4961517006158829
9.0,0.2115118265151977
9.0,0.4825282126665115
9.0,0.4052967488765716
9.0,0.1850426986813545
9.0,0.3637793213129043
9.0,0.503248542547226
9.0,0.2029075026512146
9.0,0.2825371265411377
9.0,0.2196580171585083
9.0,0.1872370243072509
9.0,0.2625124663114547
9.0,0.204059636592865
9.0,0.2334217637777328
9.0,0.198927155137062
9.0,0.2659631133079528
9.0,0.3271713465452194
9.0,0.5029763370752335
9.0,0.261558911204338
9.0,0.2053339093923568
9.0,0.2891509413719177
9.0,0.5255004465579987
9.0,0.358488517999649
9.0,0.4700104922056198
9.0,0.3649612635374069
9.0,0.1904102206230163
9.0,0.2531552225351333
9.0,0.2443013459444046
9.0,0.2959493935108185
9.0,0.221795605123043
9.0,0.2959656178951263
9.0,0.2131033718585968
9.0,0.3137803852558136
10.0,0.185650397837162
10.0,0.2300854265689849
10.0,0.3214614003896713
10.0,0.2582915857434272
10.0,0.2560039177536964
10.0,0.2154434889554977
10.0,0.2769855186343193
10.0,0.3145992040634155
10.0,0.1914286345243454
10.0,0.4694028496742248
10.0,0.201060152053833
10.0,0.2993884772062302
10.0,0.3900949984788894
10.0,0.242480693757534
10.0,0.3031674653291702
10.0,0.1836259379982948
10.0,0.3720563530921936
10.0,0.4851062834262848
10.0,0.2040626853704452
10.0,0.4938930571079254
10.0,0.413224846124649
10.0,0.1876203924417495
10.0,0.3525444149971008
